Machine_ID,Timestamp,Temperature,Vibration,Pressure,Run_Time,Oil_Level,Power_Consumption,Product_Rate,Maintenance_Due,Downtime_Flag,Downtime,Quality_Score,Equipment_Age
M10,2024-01-02 18:00:00,55.0,0.464,110.28,18.16,0.804,76.93,103.58,0,0,No,87.23,538
M9,2024-01-02 19:00:00,111.22,0.532,131.01,2.65,0.897,68.51,100.89,1,1,Yes,75.04,353
M10,2024-01-02 20:00:00,91.44,0.533,77.18,20.12,0.705,91.89,71.2,1,1,Yes,86.55,125
M5,2024-01-02 21:00:00,80.22,0.583,92.24,13.33,0.719,94.36,80.54,0,1,Yes,94.17,582
M2,2024-01-02 22:00:00,62.87,0.612,108.03,16.56,0.73,94.7,87.97,0,1,Yes,90.1,675
M4,2024-01-02 23:00:00,84.33,0.465,70.95,23.31,0.826,64.77,98.99,0,0,No,88.83,853
M7,2024-01-03 00:00:00,68.6,0.318,110.43,2.01,0.944,95.74,70.99,0,0,No,91.07,957
M8,2024-01-03 01:00:00,80.25,0.256,46.49,21.63,0.966,76.99,109.0,0,0,No,81.8,615
M3,2024-01-03 02:00:00,84.49,0.704,109.84,3.03,0.773,100.52,98.61,0,0,No,89.21,1000
M1,2024-01-03 03:00:00,68.26,0.654,80.1,9.43,0.872,86.25,84.35,0,0,No,89.57,437
M4,2024-01-03 04:00:00,108.32,0.63,91.05,20.43,0.931,82.51,102.9,0,1,Yes,78.95,750
M2,2024-01-03 05:00:00,137.94,0.662,113.04,21.75,0.787,80.09,78.4,0,1,Yes,62.68,953
M8,2024-01-03 06:00:00,70.57,0.468,108.95,12.15,0.823,79.86,99.22,0,0,No,95.35,879
M4,2024-01-03 07:00:00,77.28,0.375,99.84,14.26,0.857,73.2,72.99,0,0,No,96.33,447
M2,2024-01-03 08:00:00,80.69,0.304,119.38,17.0,0.74,69.32,75.18,0,1,Yes,89.36,443
M6,2024-01-03 09:00:00,102.17,0.282,66.0,19.99,0.708,76.37,93.19,0,1,Yes,75.26,582
M6,2024-01-03 10:00:00,73.76,0.742,104.09,2.92,0.746,91.91,89.26,0,1,Yes,93.71,145
M10,2024-01-03 11:00:00,62.56,0.401,84.2,19.44,0.888,66.03,105.76,0,0,No,88.65,178
M4,2024-01-03 12:00:00,56.0,0.711,118.36,11.55,0.722,93.41,99.72,1,1,Yes,82.61,915
M6,2024-01-03 13:00:00,74.13,0.463,113.74,10.81,0.757,81.43,131.51,0,0,No,96.07,935
M2,2024-01-03 14:00:00,68.27,0.365,114.47,10.17,0.801,87.81,96.02,0,0,No,91.04,128
M10,2024-01-03 15:00:00,105.15,0.281,132.91,12.22,0.723,88.33,50.51,0,1,Yes,73.97,325
M2,2024-01-03 16:00:00,121.86,0.382,122.53,22.68,0.758,89.28,69.48,0,1,Yes,69.71,186
M10,2024-01-03 17:00:00,59.48,0.784,96.85,13.16,0.973,80.22,82.06,0,0,No,85.94,341
M4,2024-01-03 18:00:00,77.21,0.283,99.97,22.88,0.706,80.52,150.77,0,1,Yes,94.55,264
M8,2024-01-03 19:00:00,76.11,0.923,112.02,4.33,0.896,88.94,99.45,0,1,Yes,88.58,433
M7,2024-01-03 20:00:00,95.96,0.332,102.72,17.38,0.815,69.59,116.63,0,1,Yes,85.61,220
M9,2024-01-03 21:00:00,75.86,0.65,114.1,19.49,0.902,68.06,115.11,0,0,No,93.75,906
M8,2024-01-03 22:00:00,65.29,0.471,55.39,16.3,0.877,75.35,81.0,0,0,No,85.64,715
M5,2024-01-03 23:00:00,74.12,0.436,137.62,14.57,0.767,82.88,73.1,0,0,No,90.75,748
M2,2024-01-04 00:00:00,65.57,0.246,101.22,13.56,0.954,99.21,109.63,0,0,No,89.96,729
M5,2024-01-04 01:00:00,100.84,0.48,67.55,20.66,0.848,80.48,66.69,0,1,Yes,80.19,694
M8,2024-01-04 02:00:00,64.36,0.268,81.72,19.72,0.947,100.0,114.66,0,0,No,86.39,383
M10,2024-01-04 03:00:00,67.34,0.164,57.41,2.93,0.822,85.15,98.24,0,0,No,80.93,488
M9,2024-01-04 04:00:00,110.91,0.524,78.2,20.37,0.995,75.47,109.24,0,1,Yes,77.2,125
M9,2024-01-04 05:00:00,63.47,0.373,97.16,9.94,0.931,91.47,104.55,0,0,No,91.13,779
M1,2024-01-04 06:00:00,53.31,0.837,130.29,6.09,0.99,77.57,105.35,0,1,Yes,76.36,311
M9,2024-01-04 07:00:00,91.71,0.7,108.21,20.87,0.854,82.51,101.57,0,0,No,86.0,991
M7,2024-01-04 08:00:00,69.59,0.839,104.66,10.37,0.842,66.64,104.22,0,1,Yes,89.58,713
M9,2024-01-04 09:00:00,82.67,0.364,77.3,19.4,0.927,64.91,100.69,0,0,No,88.9,702
M8,2024-01-04 10:00:00,79.76,0.527,83.51,6.32,0.964,85.54,79.35,0,0,No,93.78,973
M1,2024-01-04 11:00:00,74.52,-0.024,85.06,0.09,0.989,91.04,94.09,0,0,No,86.29,719
M8,2024-01-04 12:00:00,74.08,0.444,85.88,11.89,0.797,99.46,132.55,0,0,No,95.59,859
M8,2024-01-04 13:00:00,63.96,0.52,92.97,2.41,0.94,71.91,104.71,0,0,No,92.68,883
M3,2024-01-04 14:00:00,76.25,0.531,94.48,18.11,0.763,94.64,117.14,0,0,No,97.65,265
M1,2024-01-04 15:00:00,88.22,0.492,93.22,6.63,0.864,93.14,85.25,0,0,No,91.86,1003
M8,2024-01-04 16:00:00,60.4,0.513,86.57,10.65,0.754,75.09,84.99,1,1,Yes,89.75,972
M3,2024-01-04 17:00:00,74.92,-0.043,102.7,2.09,0.804,93.88,81.95,0,0,No,88.57,679
M3,2024-01-04 18:00:00,90.58,0.551,93.71,6.88,0.979,89.44,80.02,0,0,No,89.93,145
M1,2024-01-04 19:00:00,82.58,0.597,68.09,18.76,0.744,91.42,75.66,0,1,Yes,87.89,223
M5,2024-01-04 20:00:00,94.64,0.768,100.69,3.64,0.89,101.67,103.5,0,0,No,84.69,498
M10,2024-01-04 21:00:00,66.48,0.574,97.66,15.53,0.878,91.01,94.66,0,0,No,93.8,932
M7,2024-01-04 22:00:00,57.05,0.474,68.41,22.02,0.736,58.63,113.13,0,1,Yes,84.18,788
M10,2024-01-04 23:00:00,78.01,0.721,88.17,16.32,0.798,83.23,95.34,0,0,No,91.71,486
M9,2024-01-05 00:00:00,80.44,0.029,111.94,19.46,0.869,64.33,63.95,0,0,No,85.46,958
M7,2024-01-05 01:00:00,95.53,0.397,77.27,2.62,0.756,81.51,106.65,0,1,Yes,83.13,983
M9,2024-01-05 02:00:00,92.82,0.347,75.16,6.02,0.94,80.94,69.54,0,0,No,83.06,486
M8,2024-01-05 03:00:00,99.66,0.493,93.5,21.47,0.992,74.16,103.22,0,1,Yes,86.23,694
M2,2024-01-05 04:00:00,86.48,0.06,112.46,17.16,0.764,69.72,88.43,0,0,No,82.97,704
M1,2024-01-05 05:00:00,72.12,0.764,136.21,15.35,0.756,74.7,103.49,0,0,No,86.04,853
M7,2024-01-05 06:00:00,56.71,0.45,113.18,15.93,0.836,76.63,78.35,1,1,Yes,87.22,152
M7,2024-01-05 07:00:00,76.77,0.564,121.7,9.94,0.924,78.68,111.67,0,0,No,93.5,722
M8,2024-01-05 08:00:00,89.74,0.545,106.93,1.07,0.784,81.05,100.56,0,0,No,90.35,584
M5,2024-01-05 09:00:00,84.85,0.752,86.3,18.83,0.706,85.85,94.84,0,1,Yes,87.29,567
M3,2024-01-05 10:00:00,87.51,0.128,113.03,16.29,0.862,76.87,74.58,0,0,No,83.69,238
M8,2024-01-05 11:00:00,68.58,0.522,98.29,11.35,0.987,92.8,127.16,0,0,No,96.0,143
M6,2024-01-05 12:00:00,85.22,0.729,107.54,21.59,0.817,79.62,86.4,0,0,No,88.8,850
M3,2024-01-05 13:00:00,82.25,0.48,81.08,8.07,0.826,89.24,103.94,1,1,Yes,92.2,850
M1,2024-01-05 14:00:00,66.8,0.31,109.33,7.06,0.991,76.96,85.77,0,0,No,90.23,736
M3,2024-01-05 15:00:00,80.72,0.379,97.59,20.95,0.908,107.44,156.66,0,0,No,94.24,436
M5,2024-01-05 16:00:00,79.47,0.421,104.63,19.13,0.916,84.67,102.24,0,0,No,95.27,619
M3,2024-01-05 17:00:00,86.41,0.356,98.3,12.36,0.869,96.35,90.78,0,0,No,91.07,730
M1,2024-01-05 18:00:00,72.01,0.469,94.46,3.14,0.992,73.06,109.09,0,0,No,96.78,999
M5,2024-01-05 19:00:00,57.55,0.802,109.69,5.16,0.907,75.53,111.25,0,1,Yes,83.3,436
M10,2024-01-05 20:00:00,63.96,0.381,91.88,15.75,0.969,77.48,105.92,0,0,No,90.47,917
M7,2024-01-05 21:00:00,78.06,0.402,68.23,9.24,0.91,104.73,95.15,0,0,No,90.17,272
M7,2024-01-05 22:00:00,93.45,0.592,62.52,20.08,0.921,77.87,106.61,0,0,No,81.44,629
M9,2024-01-05 23:00:00,94.34,0.465,103.69,22.8,0.787,71.77,97.67,0,0,No,88.89,772
M10,2024-01-06 00:00:00,82.82,0.234,91.06,19.34,0.791,93.01,99.62,0,0,No,88.98,857
M10,2024-01-06 01:00:00,75.09,0.488,65.42,9.06,0.935,80.59,88.22,0,0,No,92.8,366
M3,2024-01-06 02:00:00,78.98,0.48,102.13,18.93,0.789,77.82,78.05,0,0,No,97.19,360
M7,2024-01-06 03:00:00,74.32,0.695,98.12,8.43,0.869,73.9,108.45,0,0,No,95.38,964
M1,2024-01-06 04:00:00,92.23,0.306,90.01,4.01,0.775,84.89,109.09,0,0,No,85.5,462
M4,2024-01-06 05:00:00,96.49,0.696,104.94,0.8,0.945,90.63,119.45,0,1,Yes,84.34,506
M4,2024-01-06 06:00:00,57.16,0.48,126.3,9.26,0.733,87.88,100.73,0,1,Yes,85.43,691
M5,2024-01-06 07:00:00,85.41,0.278,125.69,21.69,0.949,75.21,96.76,0,0,No,85.23,315
M7,2024-01-06 08:00:00,75.49,0.238,102.88,5.74,0.881,70.12,78.85,0,0,No,93.94,417
M7,2024-01-06 09:00:00,71.0,0.887,98.31,4.96,0.756,39.81,99.41,0,1,Yes,89.92,264
M4,2024-01-06 10:00:00,122.27,0.468,103.15,23.28,0.863,70.55,105.4,0,1,Yes,75.09,331
M7,2024-01-06 11:00:00,78.36,0.687,106.18,0.6,0.785,76.28,72.7,0,0,No,93.34,815
M3,2024-01-06 12:00:00,62.92,0.158,94.63,18.86,0.797,79.41,116.04,0,0,No,86.05,980
M6,2024-01-06 13:00:00,83.95,1.028,103.49,7.71,0.805,77.29,89.32,0,1,Yes,84.28,954
M2,2024-01-06 14:00:00,79.06,0.679,68.53,0.9,0.719,108.01,97.06,1,1,Yes,88.1,670
M10,2024-01-06 15:00:00,95.48,0.449,101.63,22.03,0.996,84.91,108.97,0,1,Yes,88.42,376
M9,2024-01-06 16:00:00,102.12,0.439,109.54,3.35,0.709,67.62,99.89,1,1,Yes,83.31,408
M5,2024-01-06 17:00:00,80.26,0.647,90.2,13.24,0.899,86.56,121.05,1,1,Yes,92.47,428
M6,2024-01-06 18:00:00,70.45,0.635,98.09,6.58,0.811,83.91,109.43,0,0,No,94.63,399
M4,2024-01-06 19:00:00,45.67,0.537,77.77,1.56,0.894,69.5,97.78,0,0,No,80.16,795
M10,2024-01-06 20:00:00,72.52,0.502,74.99,1.2,0.807,82.89,53.2,0,0,No,93.71,990
M7,2024-01-06 21:00:00,94.59,0.612,104.22,2.77,0.902,85.3,114.94,0,0,No,87.12,149
M9,2024-01-06 22:00:00,73.63,0.152,85.41,1.71,0.919,90.25,82.31,0,0,No,89.43,795
M7,2024-01-06 23:00:00,41.4,0.426,64.46,18.25,0.907,62.24,112.78,0,0,No,74.61,163
M1,2024-01-07 00:00:00,67.52,0.171,77.76,11.65,0.734,86.48,107.35,0,1,Yes,85.23,665
M1,2024-01-07 01:00:00,89.89,0.621,80.67,8.23,0.897,94.1,97.02,0,0,No,86.27,245
M9,2024-01-07 02:00:00,83.19,0.365,115.49,10.04,0.784,98.88,114.3,0,0,No,90.1,463
M9,2024-01-07 03:00:00,74.88,0.186,103.58,22.29,0.709,67.74,107.82,0,1,Yes,92.94,334
M4,2024-01-07 04:00:00,79.82,0.341,82.57,21.86,0.824,78.54,104.93,0,0,No,90.93,562
M9,2024-01-07 05:00:00,68.84,0.53,88.24,17.18,0.83,79.51,74.26,0,0,No,93.97,620
M3,2024-01-07 06:00:00,78.07,0.459,126.24,21.23,0.84,86.76,100.6,0,0,No,92.4,200
M7,2024-01-07 07:00:00,44.55,0.265,118.72,7.67,0.911,78.35,81.36,0,0,No,76.34,371
M6,2024-01-07 08:00:00,86.45,0.159,77.64,9.15,0.793,72.85,83.56,0,0,No,82.98,373
M8,2024-01-07 09:00:00,93.86,0.515,123.27,14.73,0.795,82.17,94.58,0,0,No,85.62,639
M9,2024-01-07 10:00:00,52.22,0.384,98.39,14.97,0.718,76.62,121.95,0,1,Yes,85.97,197
M5,2024-01-07 11:00:00,93.66,0.448,115.99,11.56,0.906,85.62,105.48,0,0,No,86.44,735
M1,2024-01-07 12:00:00,73.45,0.468,96.73,9.62,0.87,71.9,106.47,0,0,No,97.94,573
M3,2024-01-07 13:00:00,112.05,0.586,123.72,23.67,0.805,69.78,111.56,0,1,Yes,75.01,745
M10,2024-01-07 14:00:00,75.57,0.669,76.81,19.71,0.912,93.15,86.88,0,0,No,91.69,367
M8,2024-01-07 15:00:00,77.03,0.529,94.89,10.44,0.861,102.73,76.35,0,0,No,97.38,135
M6,2024-01-07 16:00:00,80.59,0.436,124.33,17.46,0.841,98.22,73.69,0,0,No,91.06,365
M8,2024-01-07 17:00:00,63.15,0.505,52.15,6.47,0.853,79.28,103.47,0,0,No,84.41,363
M9,2024-01-07 18:00:00,92.92,0.432,99.08,2.4,0.891,90.55,114.8,0,0,No,89.5,271
M4,2024-01-07 19:00:00,58.18,0.171,92.13,8.46,0.898,73.14,113.69,0,0,No,83.45,722
M1,2024-01-07 20:00:00,68.97,0.718,113.69,9.67,0.787,85.08,87.53,0,0,No,89.88,613
M1,2024-01-07 21:00:00,82.86,0.681,121.4,0.4,0.742,74.16,120.33,0,1,Yes,88.17,572
M10,2024-01-07 22:00:00,67.36,0.898,114.61,19.56,0.747,92.57,130.65,0,1,Yes,85.31,814
M4,2024-01-07 23:00:00,86.66,0.956,104.82,8.62,0.892,91.23,109.11,1,1,Yes,84.08,656
M7,2024-01-08 00:00:00,95.64,0.265,100.81,13.93,0.962,100.76,122.31,0,1,Yes,84.81,236
M2,2024-01-08 01:00:00,90.19,0.433,93.15,1.78,0.823,77.71,113.1,0,0,No,89.69,864
M3,2024-01-08 02:00:00,45.96,1.002,104.2,4.2,0.751,95.79,96.55,0,1,Yes,74.59,885
M1,2024-01-08 03:00:00,92.27,0.492,129.19,21.35,0.927,85.06,90.03,0,0,No,85.37,562
M5,2024-01-08 04:00:00,90.43,0.549,83.39,14.61,0.95,80.75,75.8,0,0,No,87.99,468
M1,2024-01-08 05:00:00,66.3,0.196,91.96,22.81,0.964,83.37,93.33,0,0,No,87.96,741
M8,2024-01-08 06:00:00,103.02,0.53,98.49,23.97,0.882,96.98,96.45,0,1,Yes,85.08,966
M1,2024-01-08 07:00:00,85.01,0.886,120.02,8.92,0.958,78.68,96.78,0,1,Yes,83.26,658
M1,2024-01-08 08:00:00,56.82,0.757,104.47,7.17,0.705,79.19,98.31,1,1,Yes,84.87,440
M2,2024-01-08 09:00:00,105.02,0.378,119.67,20.6,0.732,59.34,65.59,0,1,Yes,78.62,571
M2,2024-01-08 10:00:00,94.91,0.421,120.68,23.97,0.728,78.53,111.69,0,1,Yes,84.32,339
M6,2024-01-08 11:00:00,84.76,0.274,111.84,15.11,0.914,82.64,113.43,0,0,No,88.23,866
M7,2024-01-08 12:00:00,60.51,0.33,78.72,19.08,0.721,72.38,105.57,0,1,Yes,85.09,483
M5,2024-01-08 13:00:00,77.25,0.118,133.22,18.76,0.849,69.92,82.46,0,0,No,84.59,647
M1,2024-01-08 14:00:00,49.43,0.483,128.25,8.53,0.842,61.49,105.5,0,0,No,81.22,953
M1,2024-01-08 15:00:00,40.85,0.802,101.27,13.78,0.793,74.15,100.34,1,1,Yes,76.63,232
M3,2024-01-08 16:00:00,77.11,0.571,72.36,19.99,0.961,94.21,107.12,0,0,No,91.99,329
M2,2024-01-08 17:00:00,91.51,0.773,68.79,16.51,0.751,65.18,123.27,0,0,No,80.04,347
M5,2024-01-08 18:00:00,78.79,0.715,105.09,0.51,0.806,87.89,97.32,0,0,No,92.79,276
M10,2024-01-08 19:00:00,74.05,0.391,85.96,8.08,0.932,88.79,102.72,0,0,No,94.53,689
M6,2024-01-08 20:00:00,72.19,0.348,65.66,3.47,0.709,104.53,87.03,0,1,Yes,88.69,996
M7,2024-01-08 21:00:00,60.86,0.356,68.41,5.59,0.902,90.38,113.83,0,0,No,83.73,447
M4,2024-01-08 22:00:00,86.01,0.157,90.6,21.73,0.945,89.55,110.54,0,0,No,85.75,208
M7,2024-01-08 23:00:00,81.33,0.506,103.9,0.89,0.98,83.68,103.25,0,0,No,95.93,372
M8,2024-01-09 00:00:00,68.47,-0.081,128.11,5.28,0.963,80.01,84.2,0,0,No,79.5,790
M1,2024-01-09 01:00:00,86.26,0.618,109.68,7.43,0.796,88.52,89.75,0,0,No,90.07,262
M6,2024-01-09 02:00:00,77.94,0.514,92.37,14.81,0.876,92.49,72.53,0,0,No,96.72,516
M8,2024-01-09 03:00:00,79.75,0.594,107.6,12.82,0.723,81.7,89.57,0,1,Yes,94.22,853
M5,2024-01-09 04:00:00,88.33,0.711,105.81,5.24,0.777,92.92,110.64,0,0,No,87.94,522
M4,2024-01-09 05:00:00,67.1,0.54,114.79,3.94,0.728,108.83,105.94,0,1,Yes,92.3,934
M2,2024-01-09 06:00:00,84.89,0.826,99.2,5.68,0.795,80.71,102.4,0,1,Yes,88.37,716
M6,2024-01-09 07:00:00,69.2,0.624,120.72,12.06,0.963,80.99,122.26,0,0,No,90.47,780
M6,2024-01-09 08:00:00,80.09,0.349,116.49,6.51,0.804,79.08,104.57,0,0,No,91.13,528
M1,2024-01-09 09:00:00,78.38,0.452,101.65,22.74,0.869,81.34,91.34,0,0,No,97.03,562
M9,2024-01-09 10:00:00,61.34,0.048,97.62,11.13,0.83,92.23,89.5,0,0,No,83.65,352
M6,2024-01-09 11:00:00,76.38,0.32,118.39,1.41,0.838,80.87,96.52,0,0,No,92.02,308
M3,2024-01-09 12:00:00,46.72,0.424,85.73,17.5,0.991,81.89,93.25,0,0,No,81.48,217
M4,2024-01-09 13:00:00,70.56,0.609,69.87,7.89,0.789,77.5,114.29,0,0,No,89.57,230
M4,2024-01-09 14:00:00,50.9,0.35,69.75,15.68,0.888,84.89,106.32,0,0,No,78.9,737
M3,2024-01-09 15:00:00,86.69,0.251,84.07,6.71,0.826,74.97,95.2,0,0,No,85.99,655
M10,2024-01-09 16:00:00,90.75,0.122,113.19,13.7,0.718,67.74,95.78,0,1,Yes,81.94,399
M3,2024-01-09 17:00:00,62.04,0.381,91.54,18.53,0.847,84.48,110.55,1,1,Yes,89.44,836
M3,2024-01-09 18:00:00,97.71,0.89,104.09,22.27,0.944,99.79,115.16,0,1,Yes,80.02,644
M4,2024-01-09 19:00:00,88.49,0.554,90.09,6.27,0.73,77.1,72.35,0,1,Yes,90.19,469
M7,2024-01-09 20:00:00,88.54,0.688,90.25,8.04,0.721,69.59,97.43,0,1,Yes,87.52,441
M4,2024-01-09 21:00:00,78.22,0.32,79.49,11.14,0.746,99.16,101.37,0,1,Yes,90.69,837
M9,2024-01-09 22:00:00,103.22,0.185,98.16,22.25,0.929,80.46,108.22,0,1,Yes,79.23,620
M1,2024-01-09 23:00:00,78.31,0.256,96.5,21.63,0.917,89.45,101.69,0,0,No,92.76,660
M8,2024-01-10 00:00:00,76.25,0.481,108.25,2.16,0.87,72.71,106.11,0,0,No,97.34,774
M7,2024-01-10 01:00:00,67.99,0.101,105.75,3.17,0.84,80.1,96.45,0,0,No,87.37,761
M2,2024-01-10 02:00:00,63.99,0.299,96.06,11.89,0.966,94.01,87.91,0,0,No,89.68,552
M8,2024-01-10 03:00:00,75.54,0.383,69.88,2.56,0.93,81.31,111.76,0,0,No,91.36,646
M1,2024-01-10 04:00:00,80.21,0.236,121.41,8.29,0.944,81.43,112.24,1,1,Yes,87.83,902
M9,2024-01-10 05:00:00,92.45,0.075,98.3,3.56,0.944,65.11,109.78,0,0,No,82.44,714
M9,2024-01-10 06:00:00,78.98,0.558,101.59,15.26,0.893,87.87,112.45,0,0,No,96.53,566
M2,2024-01-10 07:00:00,101.55,0.509,132.01,22.79,0.837,72.14,85.42,0,1,Yes,80.14,939
M7,2024-01-10 08:00:00,101.76,0.656,118.16,23.92,0.959,91.2,92.39,0,1,Yes,79.87,748
M10,2024-01-10 09:00:00,115.31,0.278,108.93,9.01,0.978,82.02,116.8,0,1,Yes,73.62,327
M3,2024-01-10 10:00:00,47.85,0.652,99.95,14.38,0.707,82.91,105.34,0,1,Yes,83.38,953
M7,2024-01-10 11:00:00,77.62,0.806,99.77,20.55,0.715,87.73,100.84,0,1,Yes,92.53,884
M10,2024-01-10 12:00:00,97.11,0.552,104.8,2.82,0.988,83.75,96.22,0,1,Yes,86.94,396
M9,2024-01-10 13:00:00,69.72,0.378,108.14,16.55,0.783,97.18,119.02,0,0,No,93.29,620
M4,2024-01-10 14:00:00,88.29,0.529,134.23,9.81,0.962,95.6,73.44,0,0,No,85.93,894
M1,2024-01-10 15:00:00,78.45,0.368,149.47,4.95,0.817,67.83,104.41,0,0,No,85.75,422
M2,2024-01-10 16:00:00,106.58,0.335,105.81,9.67,0.736,78.29,99.0,0,1,Yes,79.75,492
M1,2024-01-10 17:00:00,58.3,0.637,56.93,1.82,0.724,88.37,81.21,0,1,Yes,80.31,701
M5,2024-01-10 18:00:00,93.33,0.472,80.97,16.69,0.747,70.57,124.25,0,1,Yes,86.47,303
M5,2024-01-10 19:00:00,101.24,0.741,136.23,6.07,0.775,64.32,59.64,0,1,Yes,74.81,152
M7,2024-01-10 20:00:00,59.78,0.412,114.37,7.47,0.847,72.4,101.82,0,0,No,87.75,412
M9,2024-01-10 21:00:00,86.74,0.432,108.52,2.91,0.91,78.85,107.93,0,0,No,91.06,960
M9,2024-01-10 22:00:00,72.62,0.387,96.66,20.75,0.996,39.35,85.37,0,0,No,95.88,998
M3,2024-01-10 23:00:00,75.45,0.276,76.22,11.84,0.832,68.86,104.16,0,0,No,90.54,555
M3,2024-01-11 00:00:00,71.15,0.663,133.56,13.73,0.855,62.21,96.63,0,0,No,88.11,643
M3,2024-01-11 01:00:00,38.96,0.937,83.54,13.67,0.857,91.47,114.82,1,1,Yes,69.94,811
M4,2024-01-11 02:00:00,81.36,0.424,114.59,9.85,0.862,89.31,152.71,0,0,No,92.37,584
